title,release_date,developer,publisher,tags,bundle,music
Tank Mechanic Simulator,"20 Feb, 2020",DeGenerals S.A.,PlayWay S.A.,"Tanks,Simulation,World War II,Realistic,Singleplayer,First-Person,Building,Relaxing,Action,Indie,Management,Walking Simulator,Crafting,Economy,Casual,Exploration,Resource Management,Adventure,Atmospheric,Family Friendly",,Buy Tank Mechanic Simulator
Cooking Simulator VR,"29 Jul, 2021",GameBoom VR,Big Cheese Studio,"Simulation,VR,Casual,Physics,Cooking,Singleplayer,3D,Realistic,Sandbox,Psychological Horror,Immersive Sim,Family Friendly,Relaxing,Management,First-Person,Funny,Replay Value,Multiplayer,Action,Comedy",,
Thief Simulator VR,"5 Nov, 2020",GameBoom VR,PlayWay S.A.,"Simulation,VR,Indie,Action,Crime,Stealth,Open World,Singleplayer,Exploration,First-Person,Sandbox,Multiplayer,Walking Simulator,Story Rich,Funny,Co-op,Heist,Adventure,Realistic,Driving",,
A Front Too Far: Normandy,"20 Dec, 2018",Marco Amadei,Corvostudio di Amadei Marco,"Action,Adventure,RPG,Indie,Strategy,Violent,World War II,Open World,FPS,Singleplayer",,Buy A Front Too Far: Normandy
Demolish & Build VR,"18 Oct, 2021",Ultimate VR,Ultimate VR,"VR,Destruction,Physics,Simulation,Realistic,Utilities,Sandbox,Resource Management,3D,Relaxing,Immersive Sim,Action,Casual,Funny,Singleplayer,First-Person,Atmospheric,Economy,Action-Adventure,Driving",,
Easy Red,"1 Dec, 2017",Marco Amadei,Corvostudio di Amadei Marco,"Action,Indie,Simulation,World War II,Strategy,FPS,Multiplayer,Violent,War,Shooter,Historical,Singleplayer,First-Person",,Buy Easy Red
Easy Red 2,"10 Nov, 2020",Marco Amadei,Corvostudio di Amadei Marco,"World War II,Action,Singleplayer,FPS,Simulation,Indie,Strategy,Multiplayer,Gore,War,Violent,Shooter,Sandbox,Realistic,Atmospheric,Wargame,Historical,Immersive Sim,Team-Based,First-Person",,Buy Easy Red 2
Demolish & Build 2018,"8 Mar, 2018",Noble Muffins,Demolish Games S.A.,"Simulation,Indie,Destruction,Multiplayer,Building,Automobile Sim,Singleplayer,Physics,First-Person,Sandbox,Relaxing,Driving,Casual,Realistic,Economy,Resource Management,Open World,Family Friendly,Action,Atmospheric",,Buy Demolish & Build 2018
Demolish & Build 2017,"18 Oct, 2016",Noble Muffins,Demolish Games S.A.,"Simulation,Building,Destruction,Singleplayer,Sandbox,First-Person,Open World,Casual",,Buy Demolish &amp; Build 2017
Demolish & Build 3,"11 Sep, 2024",Demolish Games S.A.,Demolish Games S.A.,"Simulation,Indie,First-Person,Realistic,Driving,Family Friendly,Management,Relaxing,Singleplayer,Strategy,Destruction,Life Sim,Economy,Physics,Resource Management,Action,Adventure,Immersive Sim,Funny,Remake",,Buy Demolish & Build 3
